name,city,state,website,num_of_children,children_properties
"Madison Beach Hotel, Curio Collection by  Hilton",Madison,Connecticut,https://www.hospitalityonline.com/madison-beach-hotel/locations,1,http://www.madisonbeachhotel.com
"First Carolina Management, Inc.",Rocky Mount,North Carolina,https://www.hospitalityonline.com/first-carolina/locations,12,http://www.1stcarolina.net
Newbury Hospitality Management,Milford,Connecticut,https://www.hospitalityonline.com/newbury-hospitality-management/locations,3,http://www.newburyhm.com/index.html
Ponte Vedra Inn & Club,Ponte Vedra Beach,Florida,https://www.hospitalityonline.com/ponte-vedra-inn/locations,1,http://www.pontevedra.com/inn_and_club/
Churchill Downs Inc.,Louisville,Kentucky,https://www.hospitalityonline.com/churchill-downs-inc/locations,14,http://www.churchilldownsincorporated.com
"Hotel LeVeque, Autograph Collection by Marriott",Columbus,Ohio,https://www.hospitalityonline.com/hotel-leveque/locations,1,http://www.marriott.com/hotels/travel/cmhak-hotel-leveque-autograph-collection/
Thrive Hospitality Group,Wixom,Michigan,https://www.hospitalityonline.com/thrivehospitality/locations,28,https://www.thrivehospitalitygroup.com
Bayside Hotel Group,Santa Cruz,California,https://www.hospitalityonline.com/bayside-hotel-group/locations,3,https://baysidehotelgroup.com/
Dream Hotel Group,New York,New York,https://www.hospitalityonline.com/dream-hotel-group/locations,13,http://www.dreamhotels.com/default-en.html
Penn National Gaming,Wyomissing,Pennsylvania,https://www.hospitalityonline.com/penn-national-gaming/locations,19,http://www.pngaming.com
Edgar's Hospitality Group,Augusta,Georgia,https://www.hospitalityonline.com/edgars-hospitality-group/locations,1,http://www.edgarshospitality.com/
"Guest Services, Inc.",Fairfax,Virginia,https://www.hospitalityonline.com/guest-services/locations,6,http://www.guestservices.com
S&S Managed Hotels,Sidney,Ohio,https://www.hospitalityonline.com/ss-managed-hotels/locations,11,http://www.ssmngtinc.com
Colwen Hotels,Portsmouth,New Hampshire,https://www.hospitalityonline.com/colwen-management/locations,32,http://www.colwenhotels.com
The Tuolumne Band of Me-Wuk Indians,Tuolumne,California,https://www.hospitalityonline.com/employers/279813/locations,2,https://mewuk.com
Fusion Hospitality,Tupelo,Mississippi,https://www.hospitalityonline.com/fusion-hospitality/locations,19,http://fusion-hospitality.com/index.php
Marquis Hotels Group,Studio City,California,https://www.hospitalityonline.com/marquis-hotels-group/locations,10,http://www.marquishotelsgroup.com/
stayAPT Suites,Matthews,North Carolina,https://www.hospitalityonline.com/stayapt/locations,19,https://www.stayapt.com/
Keystone Hotel Group,Cincinnati,Ohio,https://www.hospitalityonline.com/keystone-hotel-group/locations,5,http://www.keystonehotels.com
Colonial Downs Racetrack & Rosie's Gaming Emporium,New Kent,Virginia,https://www.hospitalityonline.com/employers/278334/locations,1,https://rosiesgaming.com
Valencia Group,Houston,Texas,https://www.hospitalityonline.com/valencia-group/locations,7,http://www.valenciagroup.com
Geweke Hospitality,Lodi,California,https://www.hospitalityonline.com/geweke/locations,6,https://www.gewekehospitality.com
"The Verve Boston Natick, Tapestry Collection by Hilton",Natick,Massachusetts,https://www.hospitalityonline.com/verve/locations,2,https://tapestrycollection3.hilton.com/tc/the-verve-boston-natick/
McKinney Capital,San Diego,California,https://www.hospitalityonline.com/mckinney-capital/locations,2,http://www.mckinneycapital.com
Boyd Gaming Corporation,Las Vegas,Nevada,https://www.hospitalityonline.com/boyd-gaming-corporation/locations,12,http://www.boydgaming.com
Heritage Hotels and Resorts,Albuquerque,New Mexico,https://www.hospitalityonline.com/heritage-hotels/locations,17,http://www.hhandr.com
Hampton Inn & Home2 Suites by Hilton Tampa Downtown Channel District,Tampa,Florida,https://www.hospitalityonline.com/hampton-inn-tampa-downtown/locations,1,https://hamptoninn3.hilton.com/en/hotels/florida/hampton-inn-tampa-downtown-channel-district-TPATBHX/index.html
"Hamister Group, Inc.",Buffalo,New York,https://www.hospitalityonline.com/hamister-group-inc/locations,9,http://www.hamistergroup.com/
Boutique Hotel Professionals,Plymouth,Michigan,https://www.hospitalityonline.com/bhp/locations,1,https://www.boutiquehotelprofessionals.com/
Relevant Group,Los Angeles,California,https://www.hospitalityonline.com/relevant-group/locations,2,https://www.relevantgroup.com
SYMY Immigration Consultants and Recruitment,Edmonton,Alberta,https://www.hospitalityonline.com/symy-immigration-consultants-and-recruitment/locations,92,http://symyimmigration.com/contact-canada-immigration-consultants/
Denihan Hospitality,New York,New York,https://www.hospitalityonline.com/denihan/locations,5,http://www.denihan.com
Ponca Tribe Of Nebraska Gaming Commission,Carter Lake,Iowa,https://www.hospitalityonline.com/employers/278484/locations,1,https://www.poncatribe-ne.org/council/boards-committees/ponca-gaming-commission/
Hilton Mystic,Mystic,Connecticut,https://www.hospitalityonline.com/hilton-mystic/locations,1,http://www.hiltonmystic.com
Trinity Hospitality,Spring Lake,North Carolina,https://www.hospitalityonline.com/trinity-hospitality/locations,7,http://www.trinityncsc.com
Navy Beach Hospitality,Montauk,New York,https://www.hospitalityonline.com/navy-beach-hospitality/locations,4,https://www.navybeach.com
365 Parking - Providence,Providence,Rhode Island,https://www.hospitalityonline.com/parking-365/locations,1,https://www.365-parking.com
Extended Stay America,Charlotte,North Carolina,https://www.hospitalityonline.com/extended-stay-america/locations,592,http://www.extendedstayamerica.com/
Equity LifeStyle Properties,Chicago,Illinois,https://www.hospitalityonline.com/equity-lifestyle-properties/locations,197,http://www.equitylifestyleproperties.com
"FIRC Group, Inc.",Asheville,North Carolina,https://www.hospitalityonline.com/firc-group/locations,6,http://fircgroup.com
Sandman Hotel Group,Vancouver,British Columbia,https://www.hospitalityonline.com/sandman-hotel-group/locations,46,https://www.sandmanhotels.com
Mazzone Hospitality,Clifton Park,New York,https://www.hospitalityonline.com/mazzone-hospitality/locations,8,https://mazzonehospitality.com
Chesapeake Hospitality,Greenbelt,Maryland,https://www.hospitalityonline.com/chesapeake-hospitality/locations,21,https://www.chesapeakehospitality.com
Global Hotel Group,Stockbridge,Georgia,https://www.hospitalityonline.com/global-hotel-group/locations,28,http://www.globalhotelgroup.net
GF Management,Philadelphia,Pennsylvania,https://www.hospitalityonline.com/gf-management/locations,84,http://www.gfhotels.com/
Morrissey Hospitality Companies,St. Paul,Minnesota,https://www.hospitalityonline.com/morrissey-hospitality/locations,10,http://www.morrisseyhospitality.com
Impact Properties,Tampa,Florida,https://www.hospitalityonline.com/impact-properties/locations,5,http://www.impact-properties.com
Drury Hotels,St. Louis,Missouri,https://www.hospitalityonline.com/drury-hotels/locations,130,http://www.druryhotels.com
Vail Resorts Hospitality,Broomfield,Colorado,https://www.hospitalityonline.com/vail-resorts/locations,37,http://www.vailresorts.com
Kalthia Group Hotels,San Diego,California,https://www.hospitalityonline.com/kalthia/locations,15,http://www.kalthiagrouphotels.com
ARLO Hotels,New York,New York,https://www.hospitalityonline.com/arlo-hotels/locations,2,http://www.arlohotels.com/
Five Seasons Sports Clubs,Covington,Kentucky,https://www.hospitalityonline.com/employers/206568/locations,7,http://www.fiveseasonssportsclub.com
Hilton Grand Vacations,Orlando,Florida,https://www.hospitalityonline.com/hilton-grand-vacations/locations,100,https://hgv.com/careers
Myrtle Beach Seaside Resorts,North Myrtle Beach,South Carolina,https://www.hospitalityonline.com/myrtle-beach-seaside-resorts/locations,6,https://www.myrtlebeachseasideresorts.com
M&R Hotel Management,Great Neck,New York,https://www.hospitalityonline.com/mrhotelgroup/locations,24,https://www.mrhotelgroup.com
The Dow Hotel Company,Seattle,Washington,https://www.hospitalityonline.com/dow-hotel-company/locations,4,https://www.dowhotelco.com/index.shtml
Hospitality Softnet,Jacksonville,Florida,https://www.hospitalityonline.com/hospitality-softnet/locations,64,http://www.HospitalitySoftnet.com
Atrium Hospitality,Alpharetta,Georgia,https://www.hospitalityonline.com/atrium-hospitality/locations,82,https://atriumhospitality.com
Red Lion Hotels Corporation,Spokane,Washington,https://www.hospitalityonline.com/red-lion-hotels-corp/locations,22,http://www.redlion.com
Seminole Gaming,Hollywood,Florida,https://www.hospitalityonline.com/employers/278527/locations,6,https://www.theseminolecasinos.com
Cactus Restaurants Ltd.,Vancouver,British Columbia,https://www.hospitalityonline.com/cactus-restaurants/locations,31,https://www.cactusclubcafe.com
Hospitality Management Corporation,Dallas,Texas,https://www.hospitalityonline.com/hospitality-management-corporation/locations,22,http://hospitalitymgt.com/site/
Cottonwood Residential,Salt Lake City,Utah,https://www.hospitalityonline.com/cottonwoodres/locations,23,http://www.cottonwoodres.com
"Sunrise Senior Living, LLC",McLean,Virginia,https://www.hospitalityonline.com/sunrise-senior-living-llc/locations,272,http://www.sunriseseniorliving.com/
Intown Suites Corporate Headquarters,Atlanta,Georgia,https://www.hospitalityonline.com/intown-suites-headquarters/locations,189,https://www.intownsuites.com
Posh Hospitality Group,Joliet,Illinois,https://www.hospitalityonline.com/employers/281340/locations,5,https://www.poshhosp.com/
"Benchmark, a Global Hospitality Company",The Woodlands,Texas,https://www.hospitalityonline.com/benchmark/locations,44,http://www.benchmarkglobalhospitality.com/
Best Western University Inn Steubenville,Steubenville,Ohio,https://www.hospitalityonline.com/best-western-university-inn-steubenville/locations,1,http://book.bestwestern.com/bestwestern/US/OH/Steubenville-hotels/BEST-WESTERN-University-Inn-Steubenville/Hotel-Overview.do?propertyCode=36155
TPI Hospitality,Willmar,Minnesota,https://www.hospitalityonline.com/tpi-hospitality/locations,48,https://www.tpihospitality.com
"La Quinta Inns, Inc.",Irving,Texas,https://www.hospitalityonline.com/la-quinta/locations,385,http://www.lq.com
Navy Gateway Inns & Suites,San Diego,California,https://www.hospitalityonline.com/employers/234241/locations,2,http://mwrtoday.com/sandiego/about/jobs
McKibbon Hospitality,Tampa,Florida,https://www.hospitalityonline.com/mckibbon-hospitality/locations,72,http://www.mckibbon.com
Maine Course Hospitality Group,Freeport,Maine,https://www.hospitalityonline.com/mchg/locations,14,http://www.mchg.com
Insignia Hospitality Group,Midland,Texas,https://www.hospitalityonline.com/insignia-hospitality/locations,19,http://www.insigniamgmt.com
RDA Hotel Management Company,Akron,Ohio,https://www.hospitalityonline.com/rda/locations,5,http://www.rdahotelmanagementco.com
Lodging Host Hotel Corp,Longview,Texas,https://www.hospitalityonline.com/lodginghost/locations,6,http://www.lodginghost.com
Naman Hotels,Florence,South Carolina,https://www.hospitalityonline.com/naman-hotels/locations,14,http://www.namanhotels.com
Excel Hotel Group,San Diego,California,https://www.hospitalityonline.com/excel-hotel-group/locations,21,http://www.excelhotelgroup.com
National Hospitality Services,Fargo,North Dakota,https://www.hospitalityonline.com/national-hospitality/locations,37,http://www.nhshotels.com
Cooper Hotels,Memphis,Tennessee,https://www.hospitalityonline.com/cooper-css-hotels/locations,18,http://www.cooperhotels.com/index.php
Pacifica Hotels,Irvine,California,https://www.hospitalityonline.com/pacifica/locations,28,http://www.pacificahotels.com
"Southern Hospitality Services, LLC",Flowood,Mississippi,https://www.hospitalityonline.com/southern-hospitality-services/locations,14,http://www.shshotelus.com
Driftwood Hospitality Management,North Palm Beach,Florida,https://www.hospitalityonline.com/driftwood-hospitality-management/locations,80,https://driftwoodhospitality.com
Exceptional Hospitality,Stone Mountain,Georgia,https://www.hospitalityonline.com/exceptional-hospitality/locations,4,http://exceptionalhospitality.com
"Focus Hospitality Services, LLC",Sarasota,Florida,https://www.hospitalityonline.com/focus-enterprises-inc/locations,6,http://www.focushotels.com
Lotus Management Inc,San Jose,California,https://www.hospitalityonline.com/lotus-management/locations,11,http://www.lotusmgmtinc.com
Frontera Hotel Group,Dallas,Texas,https://www.hospitalityonline.com/frontera-hotel-group/locations,4,http://www.fronterahotelgroup.com
JP Hospitality,Henrico,Virginia,https://www.hospitalityonline.com/jp-hospitality/locations,16,http://www.jphospitality.com
Kasandas Properties,Marietta,Georgia,https://www.hospitalityonline.com/kasandas-properties/locations,7,http://www.kasandas.com
G6 Hospitality LLC,Carrollton,Texas,https://www.hospitalityonline.com/g6-hospitality/locations,599,http://www.g6hospitality.com
Lodgco Management LLC,Mount Pleasant,Michigan,https://www.hospitalityonline.com/lodgco-management/locations,21,http://www.Lodgco.net
Kaeding Management Group,Minneapolis,Minnesota,https://www.hospitalityonline.com/kaeding-management/locations,10,http://www.kaedingmanagement.com
"Gulf Coast Hotel Management, Inc",Topeka,Kansas,https://www.hospitalityonline.com/gulf-coast-hotel-management/locations,14,http://gulfcoasthm.com/
Island Hospitality Management,West Palm Beach,Florida,https://www.hospitalityonline.com/island/locations,77,http://www.islandhospitality.com
Kana Hotel Group,Knoxville,Tennessee,https://www.hospitalityonline.com/kana-hotel-group/locations,61,http://www.kanahotelgroup.com/home.php
Swift Hospitality,Freeport,Illinois,https://www.hospitalityonline.com/swift-hospitality/locations,11,http://www.swifthospitality.com
CTwo Hotels,San Francisco,California,https://www.hospitalityonline.com/ctwo-hotels/locations,8,https://ctwohotels.com
Marshall Hotels & Resorts,Salisbury,Maryland,https://www.hospitalityonline.com/marshall-hotels/locations,47,http://www.marshallhotels.com
The Wine Group,Livermore,California,https://www.hospitalityonline.com/the-wine-group/locations,2,http://thewinegroup.com
Haywood Park Hotel,Asheville,North Carolina,https://www.hospitalityonline.com/haywood-park-hotel/locations,1,http://haywoodpark.com/
Bijal Hospitality,Astoria,New York,https://www.hospitalityonline.com/bijal-hospitality/locations,5,http://www.bijalhospitality.com/home.html
LaFrance Hospitality,Westport,Massachusetts,https://www.hospitalityonline.com/lafrance-hospitality/locations,10,http://www.lafrancehospitality.com
Real Hospitality Group,Ocean City,Maryland,https://www.hospitalityonline.com/real-hospitality/locations,55,http://www.realhospitalitygroup.com/
